,lwe_thickness,total_thickness_of_water_storage
1981-01-31,,20.295138888890506
1981-02-28,,19.545138888890506
1981-03-31,,20.685763888890506
1981-04-30,,15.388888888890506
1981-05-31,,11.287326388890506
1981-06-30,,7.123263888890506
1981-07-31,,4.701388888890506
1981-08-31,,5.740451388890506
1981-09-30,,3.3498263888905058
1981-10-31,,7.490451388890506
1981-11-30,,12.451388888890506
1981-12-31,,17.529513888890506
1982-01-31,,17.951388888890506
1982-02-28,,16.896701388890506
1982-03-31,,15.521701388890506
1982-04-30,,12.388888888890506
1982-05-31,,8.592013888890506
1982-06-30,,1.7873263888905058
1982-07-31,,-2.0720486111094942
1982-08-31,,-6.806423611109494
1982-09-30,,-10.017361111109494
1982-10-31,,-9.947048611109494
1982-11-30,,-8.540798611109494
1982-12-31,,-4.782986111109494
1983-01-31,,0.6857638888905058
1983-02-28,,5.849826388890506
1983-03-31,,6.771701388890506
1983-04-30,,10.107638888890506
1983-05-31,,8.935763888890506
1983-06-30,,3.7013888888905058
1983-07-31,,-5.189236111109494
1983-08-31,,-6.759548611109494
1983-09-30,,-10.243923611109494
1983-10-31,,-10.447048611109494
1983-11-30,,-10.290798611109494
1983-12-31,,-5.361111111109494
1984-01-31,,0.16232638889050577
1984-02-29,,4.677951388890506
1984-03-31,,4.576388888890506
1984-04-30,,4.959201388890506
1984-05-31,,2.3967013888905058
1984-06-30,,2.7717013888905058
1984-07-31,,-0.09548611110949423
1984-08-31,,-2.5251736111094942
1984-09-30,,-2.6579861111094942
1984-10-31,,-0.29861111110949423
1984-11-30,,-0.11111111110949423
1984-12-31,,2.4982638888905058
1985-01-31,,4.513888888890506
1985-02-28,,7.076388888890506
1985-03-31,,6.967013888890506
1985-04-30,,7.326388888890506
1985-05-31,,4.592013888890506
1985-06-30,,0.7560763888905058
1985-07-31,,-2.1579861111094942
1985-08-31,,-3.2048611111094942
1985-09-30,,-4.197048611109494
1985-10-31,,-5.970486111109494
1985-11-30,,-4.165798611109494
1985-12-31,,0.7092013888905058
1986-01-31,,6.506076388890506
1986-02-28,,8.232638888890506
1986-03-31,,8.177951388890506
1986-04-30,,9.084201388890506
1986-05-31,,5.099826388890506
1986-06-30,,5.107638888890506
1986-07-31,,-3.0017361111094942
1986-08-31,,-5.611111111109494
1986-09-30,,-4.025173611109494
1986-10-31,,-4.431423611109494
1986-11-30,,-0.8064236111094942
1986-12-31,,1.4592013888905058
1987-01-31,,12.357638888890506
1987-02-28,,13.623263888890506
1987-03-31,,14.599826388890506
1987-04-30,,13.271701388890506
1987-05-31,,9.576388888890506
1987-06-30,,8.623263888890506
1987-07-31,,5.420138888890506
1987-08-31,,5.771701388890506
1987-09-30,,4.646701388890506
1987-10-31,,3.5217013888905058
1987-11-30,,4.912326388890506
1987-12-31,,7.842013888890506
1988-01-31,,10.302951388890506
1988-02-29,,12.763888888890506
1988-03-31,,17.248263888890506
1988-04-30,,15.013888888890506
1988-05-31,,5.060763888890506
1988-06-30,,0.8888888888905058
1988-07-31,,-1.4001736111094942
1988-08-31,,-5.009548611109494
1988-09-30,,-6.048611111109494
1988-10-31,,-6.056423611109494
1988-11-30,,-4.025173611109494
1988-12-31,,4.068576388890506
1989-01-31,,7.006076388890506
1989-02-28,,6.420138888890506
1989-03-31,,8.365451388890506
1989-04-30,,7.193576388890506
1989-05-31,,2.8498263888905058
1989-06-30,,-3.6423611111094942
1989-07-31,,-7.368923611109494
1989-08-31,,-9.243923611109494
1989-09-30,,-9.689236111109494
1989-10-31,,-8.829861111109494
1989-11-30,,-5.243923611109494
1989-12-31,,-0.9001736111094942
1990-01-31,,1.6232638888905058
1990-02-28,,3.7326388888905058
1990-03-31,,6.904513888890506
1990-04-30,,5.365451388890506
1990-05-31,,0.6857638888905058
1990-06-30,,-1.8064236111094942
1990-07-31,,-5.197048611109494
1990-08-31,,-11.189236111109494
1990-09-30,,-9.923611111109494
1990-10-31,,-9.579861111109494
1990-11-30,,-6.259548611109494
1990-12-31,,-0.43142361110949423
1991-01-31,,3.2092013888905058
1991-02-28,,3.0920138888905058
