,lwe_thickness,total_thickness_of_water_storage
1992-03-31,,1.2610677083284827
1992-04-30,,1.7376302083284827
1992-05-31,,-1.1373697916715173
1992-06-30,,-4.270182291671517
1992-07-31,,-3.8951822916715173
1992-08-31,,-5.926432291671517
1992-09-30,,-5.160807291671517
1992-10-31,,-5.606119791671517
1992-11-30,,-2.0670572916715173
1992-12-31,,0.4329427083284827
1993-01-31,,0.3860677083284827
1993-02-28,,0.7454427083284827
1993-03-31,,-0.0904947916715173
1993-04-30,,-1.8170572916715173
1993-05-31,,-4.738932291671517
1993-06-30,,-2.8248697916715173
1993-07-31,,-1.1920572916715173
1993-08-31,,-0.9498697916715173
1993-09-30,,-0.1998697916715173
1993-10-31,,-1.3795572916715173
1993-11-30,,-1.5358072916715173
1993-12-31,,1.5032552083284827
1994-01-31,,4.542317708328483
1994-02-28,,2.9016927083284827
1994-03-31,,2.8391927083284827
1994-04-30,,4.182942708328483
1994-05-31,,0.1048177083284827
1994-06-30,,-1.2076822916715173
1994-07-31,,-4.918619791671517
1994-08-31,,-5.574869791671517
1994-09-30,,-1.7623697916715173
1994-10-31,,-3.1998697916715173
1994-11-30,,-2.8717447916715173
1994-12-31,,-0.8092447916715173
1995-01-31,,1.7766927083284827
1995-02-28,,3.7923177083284827
1995-03-31,,2.5579427083284827
1995-04-30,,3.9798177083284827
1995-05-31,,2.1282552083284827
1995-06-30,,4.589192708328483
1995-07-31,,1.0970052083284827
1995-08-31,,-2.4889322916715173
1995-09-30,,1.0266927083284827
1995-10-31,,0.1985677083284827
1995-11-30,,1.2923177083284827
1995-12-31,,1.2141927083284827
1996-01-31,,0.2845052083284827
1996-02-29,,-0.3717447916715173
1996-03-31,,-0.5592447916715173
1996-04-30,,-1.6139322916715173
1996-05-31,,-0.7389322916715173
1996-06-30,,-1.1686197916715173
1996-07-31,,0.4798177083284827
1996-08-31,,0.0813802083284827
1996-09-30,,0.7298177083284827
1996-10-31,,1.4720052083284827
1996-11-30,,2.7845052083284827
1996-12-31,,2.7610677083284827
1997-01-31,,0.9798177083284827
1997-02-28,,1.2845052083284827
1997-03-31,,2.4173177083284827
1997-04-30,,2.2532552083284827
1997-05-31,,1.4563802083284827
1997-06-30,,-0.6217447916715173
1997-07-31,,1.4954427083284827
1997-08-31,,0.3626302083284827
1997-09-30,,-1.5592447916715173
1997-10-31,,-2.4733072916715173
1997-11-30,,-2.3483072916715173
1997-12-31,,0.057942708328482695
1998-01-31,,1.9173177083284827
1998-02-28,,0.026692708328482695
1998-03-31,,1.9641927083284827
1998-04-30,,1.5188802083284827
1998-05-31,,-1.3951822916715173
1998-06-30,,-1.6295572916715173
1998-07-31,,-0.0670572916715173
1998-08-31,,-1.3014322916715173
1998-09-30,,1.1048177083284827
1998-10-31,,3.1985677083284827
1998-11-30,,6.854817708328483
1998-12-31,,2.7141927083284827
1999-01-31,,1.4954427083284827
1999-02-28,,3.0657552083284827
1999-03-31,,4.229817708328483
1999-04-30,,2.1360677083284827
