,E,total_evaporation
1958-01-01,,0.13495208371070125
1958-02-01,,0.22446041447775705
1958-03-01,,0.39316592677947015
1958-04-01,,1.1107521057128906
1958-05-01,,2.3998019310735885
1958-06-01,,2.3230873107910157
1958-07-01,,2.5527501260080645
1958-08-01,,1.9576649819650958
1958-09-01,,1.2744763692220051
1958-10-01,,0.6486898852932838
1958-11-01,,0.2226879119873047
1958-12-01,,0.09398625743004584
1959-01-01,,0.1658080316358997
1959-02-01,,0.23931803022112166
1959-03-01,,0.4953301029820596
1959-04-01,,1.4614754994710286
1959-05-01,,2.0149959441154235
1959-06-01,,2.470101165771484
1959-07-01,,2.5193363312752015
1959-08-01,,2.002396737375567
1959-09-01,,1.0324788411458334
1959-10-01,,0.5257495757072203
1959-11-01,,0.14328242937723795
1959-12-01,,0.03959203150964553
1960-01-01,,0.10541501352863927
1960-02-01,,0.15263305861374427
1960-03-01,,0.3807787741384199
1960-04-01,,1.5042401631673177
1960-05-01,,2.3826429305538053
1960-06-01,,2.5860865275065104
1960-07-01,,2.5655040125693045
1960-08-01,,1.8929578719600555
1960-09-01,,1.1543165842692058
1960-10-01,,0.5224461709299395
1960-11-01,,0.12522923946380615
1960-12-01,,0.13336147800568612
1961-01-01,,0.06744922361066265
1961-02-01,,0.22984823158809117
1961-03-01,,0.5396611613612021
1961-04-01,,1.5221369425455729
1961-05-01,,2.0219493989021546
1961-06-01,,2.744273885091146
1961-07-01,,2.3533495010868197
1961-08-01,,1.858429447297127
1961-09-01,,1.1354684193929037
1961-10-01,,0.5571551169118574
1961-11-01,,0.12985939184824627
1961-12-01,,0.038433051878406156
1962-01-01,,0.13299971242104808
1962-02-01,,0.19330518586294992
1962-03-01,,0.3747638886974704
1962-04-01,,1.6372717539469401
1962-05-01,,2.2300132013136342
1962-06-01,,2.3861094156901044
1962-07-01,,2.2035170524351058
1962-08-01,,1.8395831200384325
1962-09-01,,1.173069381713867
1962-10-01,,0.5550422053183278
1962-11-01,,0.19470442136128743
1962-12-01,,0.08378593383296844
1963-01-01,,0.0664037581413023
1963-02-01,,0.17446742738996232
1963-03-01,,0.31341355846774194
1963-04-01,,1.1804285685221354
1963-05-01,,2.5674581220073085
1963-06-01,,2.392363993326823
1963-07-01,,2.4104220482610885
1963-08-01,,1.9355343234154485
1963-09-01,,1.2563172658284505
1963-10-01,,0.47622569914787044
1963-11-01,,0.18024943669637045
1963-12-01,,0.08715645728572723
1964-01-01,,0.1052087583849507
1964-02-01,,0.14644517569706358
1964-03-01,,0.25218476018598
1964-04-01,,1.3699303944905599
1964-05-01,,2.1302960303521927
1964-06-01,,2.6372149149576822
1964-07-01,,2.5089793051442792
1964-08-01,,1.881406722530242
1964-09-01,,1.249288558959961
1964-10-01,,0.5500590416692919
1964-11-01,,0.17211694717407228
1964-12-01,,0.10647764513569494
1965-01-01,,0.10869357662816201
1965-02-01,,0.17987254687717982
1965-03-01,,0.3838082898047663
1965-04-01,,1.2151732126871744
1965-05-01,,2.0434405419134323
1965-06-01,,2.425744120279948
1965-07-01,,2.3803674021074848
1965-08-01,,1.8963840853783391
1965-09-01,,1.4221448262532552
1965-10-01,,0.5035576974191973
1965-11-01,,0.107695206006368
1965-12-01,,0.12174943954713884
1966-01-01,,0.16133571440173733
1966-02-01,,0.12903648614883423
1966-03-01,,0.48471703067902594
1966-04-01,,1.5597269694010416
1966-05-01,,2.3812386297410533
1966-06-01,,2.514893086751302
1966-07-01,,2.6217565228862147
1966-08-01,,2.1543901505008822
1966-09-01,,1.2302457173665364
1966-10-01,,0.601045177828881
1966-11-01,,0.16561614672342936
1966-12-01,,0.09566811592348161
1967-01-01,,0.10454133249098255
1967-02-01,,0.15930054868970597
1967-03-01,,0.4226146205779045
1967-04-01,,1.4259456634521483
1967-05-01,,2.5768759942823842
1967-06-01,,2.5751134236653646
1967-07-01,,2.4938115765971522
1967-08-01,,1.9561584226546749
1967-09-01,,1.3508076985677084
1967-10-01,,0.6044314599806263
1967-11-01,,0.1710760275522868
1967-12-01,,0.07393157866693312
1968-01-01,,0.06567119013878607
1968-02-01,,0.19289889828912143
1968-03-01,,0.48239366469844697
1968-04-01,,1.6944623311360678
1968-05-01,,2.2556627335086947
1968-06-01,,2.5507542928059896
1968-07-01,,2.1409058109406502
1968-08-01,,2.136877736737651
1968-09-01,,1.2269541422526042
1968-10-01,,0.5213124675135459
1968-11-01,,0.14649608929951985
1968-12-01,,0.10952761865431263
1969-01-01,,0.12293654103432933
1969-02-01,,0.23870302949632918
1969-03-01,,0.4118341322868101
1969-04-01,,1.4471397399902344
1969-05-01,,2.2673066662203882
1969-06-01,,2.457508087158203
1969-07-01,,2.551780946793095
1969-08-01,,1.9815133617770286
1969-09-01,,1.2573261260986328
1969-10-01,,0.5880217398366621
1969-11-01,,0.25371928215026857
1969-12-01,,0.03634295540471231
1970-01-01,,0.11549954260549238
1970-02-01,,0.2109642539705549
1970-03-01,,0.45632325449297506
1970-04-01,,1.4593704223632813
1970-05-01,,2.3934503370715725
1970-06-01,,2.6351778666178385
1970-07-01,,2.610084287581905
1970-08-01,,1.9747249234107234
1970-09-01,,1.229299799601237
1970-10-01,,0.5335592454479586
1970-11-01,,0.240817658106486
1970-12-01,,0.11171597050082299
1971-01-01,,0.18419022713938066
1971-02-01,,0.23060110637119838
1971-03-01,,0.3440914769326487
1971-04-01,,1.5041372934977213
1971-05-01,,2.455560007402974
1971-06-01,,2.4911351521809895
