,lwe_thickness,total_thickness_of_water_storage
1987-09-30,,-32.14804937900635
1987-10-31,,-23.307961488381352
1987-11-30,,-20.338234925881352
1987-12-31,,-13.822609925881352
1988-01-31,,-13.250588441506352
1988-02-29,,-9.501565004006352
1988-03-31,,-12.357033754006352
1988-04-30,,-7.962746644631352
1988-05-31,,-7.872170472756352
1988-06-30,,-10.274025941506352
1988-07-31,,-16.278908754006352
1988-08-31,,-26.180520082131352
1988-09-30,,-29.680275941506352
1988-10-31,,-25.422219300881352
1988-11-30,,-24.355080629006352
1988-12-31,,-20.681740785256352
1989-01-31,,-23.071145082131352
1989-02-28,,-24.211037660256352
1989-03-31,,-20.366311097756352
1989-04-30,,-10.461770082131352
1989-05-31,,-13.272072816506352
1989-06-30,,-19.553566957131352
1989-07-31,,-23.754982972756352
1989-08-31,,-30.995705629006352
1989-09-30,,-31.418313050881352
1989-10-31,,-34.64585211338135
1989-11-30,,-31.836037660256352
1989-12-31,,-29.230813050881352
1990-01-31,,-27.673684144631352
1990-02-28,,-24.641945863381352
1990-03-31,,-24.577736879006352
1990-04-30,,-17.799172425881352
1990-05-31,,-20.134621644631352
1990-06-30,,-21.252785707131352
1990-07-31,,-28.429055238381352
1990-08-31,,-34.18198492588135
1990-09-30,,-36.64292242588135
1990-10-31,,-29.464455629006352
1990-11-30,,-21.333840394631352
1990-12-31,,-13.879982972756352
1991-01-31,,-11.545754457131352
1991-02-28,,-10.960793519631352
1991-03-31,,-6.916604066506352
1991-04-30,,-6.741311097756352
1991-05-31,,-4.334572816506352
1991-06-30,,-12.510842347756352
1991-07-31,,-24.796731019631352
1991-08-31,,-33.52475836338135
1991-09-30,,-37.02671148838135
1991-10-31,,-23.082863832131352
1991-11-30,,-19.814065004006352
1991-12-31,,-18.769875550881352
1992-01-31,,-17.170022035256352
1992-02-29,,-16.132180238381352
1992-03-31,,-18.027199769631352
1992-04-30,,-11.791604066506352
1992-05-31,,-17.283059144631352
1992-06-30,,-15.080666566506352
1992-07-31,,-17.438820863381352
1992-08-31,,-26.768166566506352
1992-09-30,,-26.784279847756352
1992-10-31,,-10.204690004006352
1992-11-30,,-9.200783754006352
1992-12-31,,-4.692482972756352
1993-01-31,,-7.737160707131352
1993-02-28,,-10.478371644631352
1993-03-31,,-7.276955629006352
1993-04-30,,-6.083596254006352
1993-05-31,,-6.616799379006352
1993-06-30,,-14.902199769631352
1993-07-31,,-19.778908754006352
1993-08-31,,-27.268654847756352
1993-09-30,,-22.318459535256352
1993-10-31,,-1.440041566506352
1993-11-30,,-0.049904847756351955
1993-12-31,,-3.456154847756352
1994-01-31,,3.057761167868648
1994-02-28,,4.132224058493648
1994-03-31,,1.013083433493648
1994-04-30,,-1.311379457131352
1994-05-31,,-1.125588441506352
1994-06-30,,-6.449563050881352
1994-07-31,,-16.588967347756352
1994-08-31,,-25.157815004006352
1994-09-30,,-17.281594300881352
1994-10-31,,-11.974465394631352
1994-11-30,,-2.084572816506352
1994-12-31,,-5.810158754006352
1995-01-31,,-4.797707582131352
1995-02-28,,-2.610695863381352
1995-03-31,,-1.217385316506352
1995-04-30,,-4.742287660256352
1995-05-31,,-1.553322816506352
1995-06-30,,-1.114602113381352
1995-07-31,,-11.338234925881352
1995-08-31,,-19.153420472756352
1995-09-30,,-16.345315004006352
1995-10-31,,-14.317238832131352
1995-11-30,,-15.076027894631352
1995-12-31,,-9.821145082131352
1996-01-31,,-0.34555914463135196
1996-02-29,,3.026022886618648
1996-03-31,,1.343649839743648
1996-04-30,,-1.165139222756352
1996-05-31,,-1.124123597756352
1996-06-30,,-10.881447816506352
1996-07-31,,-14.692482972756352
1996-08-31,,-17.862404847756352
1996-09-30,,-16.107277894631352
1996-10-31,,-8.240578675881352
1996-11-30,,0.23451898036864804
1996-12-31,,7.674704527243648
1997-01-31,,12.586813902243648
1997-02-28,,7.532858824118648
1997-03-31,,2.848532652243648
1997-04-30,,-4.183205629006352
1997-05-31,,-7.564553285256352
1997-06-30,,-8.562356019631352
1997-07-31,,-7.688332582131352
1997-08-31,,-15.806984925881352
1997-09-30,,-19.655129457131352
1997-10-31,,-22.961281800881352
1997-11-30,,-14.781838441506352
1997-12-31,,-6.880715394631352
1998-01-31,,-1.406594300881352
1998-02-28,,-2.648537660256352
1998-03-31,,-4.446145082131352
1998-04-30,,-1.133645082131352
1998-05-31,,-2.013527894631352
1998-06-30,,-5.529641175881352
1998-07-31,,-14.113869691506352
1998-08-31,,-19.698830629006352
1998-09-30,,-18.508156800881352
1998-10-31,,-9.332375550881352
1998-11-30,,-9.429299379006352
1998-12-31,,-9.747658754006352
1999-01-31,,-4.174660707131352
1999-02-28,,-2.992531800881352
1999-03-31,,-0.896340394631352
1999-04-30,,0.885886167868648
1999-05-31,,2.287253355368648
1999-06-30,,-4.358010316506352
1999-07-31,,-12.698342347756352
1999-08-31,,-14.323830629006352
1999-09-30,,-11.487160707131352
1999-10-31,,-4.368264222756352
1999-11-30,,4.243063902243648
1999-12-31,,3.865622495993648
2000-01-31,,3.550192808493648
2000-02-29,,1.420554136618648
2000-03-31,,-0.26914312900635196
2000-04-30,,5.696433042868648
2000-05-31,,5.159079527243648
2000-06-30,,-3.827981019631352
2000-07-31,,-9.140725160256352
2000-08-31,,-10.946877504006352
2000-09-30,,-14.015236879006352
2000-10-31,,3.545554136618648
2000-11-30,,18.042380308493648
2000-12-31,,19.627097105368648
2001-01-31,,22.212058042868648
2001-02-28,,21.623923277243648
2001-03-31,,25.327048277243648
2001-04-30,,24.635153745993648
2001-05-31,,21.433493589743648
2001-06-30,,10.404929136618648
2001-07-31,,0.853659605368648
2001-08-31,,-6.129494691506352
2001-09-30,,-7.733498597756352
2001-10-31,,-5.389260316506352
2001-11-30,,-4.107766175881352
2001-12-31,,-4.628762269631352
2002-01-31,,-5.477639222756352
2002-02-28,,0.746726011618648
2002-03-31,,3.733054136618648
2002-04-30,12.465498937383664,2.439841245993648
2002-05-31,13.734439267753594,10.410300230368648
2002-06-30,,5.803122495993648
2002-07-31,,-0.24204351963135196
2002-08-31,2.825536055744796,-0.748147035256352
2002-09-30,6.166614494293099,-0.06845953525635196
2002-10-31,9.07094104214502,1.063864683493648
2002-11-30,12.547760028708032,10.546774839743648
2002-12-31,16.086054502390958,20.626852964743648
2003-01-31,18.22559922424341,19.356589292868648
2003-02-28,17.23205226201095,16.446677183493648
2003-03-31,14.552726905470285,12.169089292868648
2003-04-30,10.371145133078734,10.600485777243648
2003-05-31,7.393146649817905,5.030905699118648
2003-06-30,,-5.636330629006352
2003-07-31,-6.029324555044492,-14.146340394631352
2003-08-31,-9.54912021306812,-19.464455629006352
2003-09-30,-10.45445785804189,-19.919533754006352
2003-10-31,-9.455076020028072,-18.494973207131352
2003-11-30,0.8519460408360788,-6.240578675881352
2003-12-31,6.815293532373752,5.685934995993648
2004-01-31,9.354122696893393,11.834860777243648
2004-02-29,9.421185556529727,14.420798277243648
2004-03-31,14.24199946330791,19.874899839743648
2004-04-30,12.778369172931885,18.676169370993648
2004-05-31,11.101016124181553,20.485007261618648
2004-06-30,8.401017800016698,8.751608824118648
2004-07-31,1.569307466346042,-1.380715394631352
2004-08-31,-2.563797897230198,-8.402932191506352
2004-09-30,-3.7763193733624623,-12.476174379006352
2004-10-31,-2.9449251043178166,-11.410744691506352
2004-11-30,4.78647492602215,1.344382261618648
2004-12-31,6.536686439293272,5.514304136618648
2005-01-31,5.639534508064358,6.698874449118648
2005-02-28,6.65027076500864,5.810934995993648
2005-03-31,4.869704934783315,5.697653745993648
2005-04-30,7.545152162946729,8.423483824118648
2005-05-31,6.376523932029595,5.611227964743648
2005-06-30,-1.9165599147024457,-2.482033754006352
2005-07-31,-5.034871720965051,-8.399514222756352
2005-08-31,-8.07170581351636,-9.888039613381352
2005-09-30,-5.093742992226731,-5.207131410256352
2005-10-31,-1.962033603653075,1.211813902243648
2005-11-30,-1.3491050314491115,2.269186949118648
2005-12-31,1.786324540949729,6.738181089743648
2006-01-31,5.811446398998014,7.537497495993648
2006-02-28,5.083234111056632,11.586813902243648
2006-03-31,10.199290675480288,14.414938902243648
2006-04-30,11.096392643328594,12.785300230368648
2006-05-31,6.324188937615972,8.962790464743648
2006-06-30,-0.9227221699714564,-0.15439703525635196
2006-07-31,-6.349591708565827,-9.396828675881352
2006-08-31,-8.040081045500564,-10.867531800881352
2006-09-30,-10.912775208531642,-7.279152894631352
2006-10-31,-6.067268372257271,-1.876076722756352
2006-11-30,-5.554992999242916,-2.235207582131352
2006-12-31,-0.30926953040848004,2.980124449118648
2007-01-31,-0.7887659747299341,4.076071714743648
2007-02-28,-0.2331032182264905,5.981101011618648
2007-03-31,0.04124067623630895,6.836325620993648
2007-04-30,-0.9841335207207563,5.731345152243648
2007-05-31,-3.2786595439937796,2.959128355368648
2007-06-30,1.75534695547121,5.047995542868648
2007-07-31,-5.735993019024973,-2.784279847756352
2007-08-31,-9.077666010441554,-6.561623597756352
2007-09-30,-11.566803544729844,-7.026711488381352
2007-10-31,-13.804527143379035,-6.547707582131352
2007-11-30,-8.894033716575803,-3.133156800881352
2007-12-31,-2.275302420450969,2.186423277243648
2008-01-31,1.5757891909651423,8.866843199118648
2008-02-29,0.8362891152899945,11.415671324118648
2008-03-31,-0.16324045111710928,10.987936949118648
2008-04-30,3.945954666419724,13.168845152243648
2008-05-31,4.26100557958039,14.506979917868648
