,lwe_thickness,total_thickness_of_water_storage
1966-11-30,,-36.38450605019716
1966-12-31,,-36.86546308144716
1967-01-31,,-39.30979901894716
1967-02-28,,-39.26048261269716
1967-03-31,,-37.54173261269716
1967-04-30,,-38.06224042519716
1967-05-31,,-40.40013105019716
1967-06-30,,-43.89427167519716
1967-07-31,,-49.96165448769716
1967-08-31,,-52.51585370644716
1967-09-30,,-50.27415448769716
1967-10-31,,-51.17259198769716
1967-11-30,,-46.62278730019716
1967-12-31,,-44.29856855019716
1968-01-31,,-42.12669355019716
1968-02-29,,-36.74827558144716
1968-03-31,,-34.14085370644716
1968-04-30,,-37.10374433144716
1968-05-31,,-39.46311933144716
1968-06-30,,-37.36009198769716
1968-07-31,,-44.15745526894716
1968-08-31,,-45.09300214394716
1968-09-30,,-42.51390058144716
1968-10-31,,-46.19309980019716
1968-11-30,,-35.63206464394716
1968-12-31,,-35.09056073769716
1969-01-31,,-31.64475995644716
1969-02-28,,-30.20140058144716
1969-03-31,,-27.78294355019716
1969-04-30,,-28.51048261269716
1969-05-31,,-30.02806073769716
1969-06-30,,-37.56077558144716
1969-07-31,,-42.22923261269716
1969-08-31,,-45.82640058144716
1969-09-30,,-44.71165448769716
1969-10-31,,-46.64964276894716
1969-11-30,,-44.59056073769716
1969-12-31,,-42.55393964394716
1970-01-31,,-35.41868573769716
1970-02-28,,-32.36399823769716
1970-03-31,,-30.01731855019716
1970-04-30,,-29.60667401894716
1970-05-31,,-31.07737714394716
1970-06-30,,-35.00413495644716
1970-07-31,,-43.51975995644716
1970-08-31,,-44.45091230019716
1970-09-30,,-46.82591230019716
1970-10-31,,-45.51780683144716
1970-11-30,,-42.88890058144716
1970-12-31,,-39.82688886269716
1971-01-31,,-34.53489667519716
1971-02-28,,-29.99290448769716
1971-03-31,,-28.10960370644716
1971-04-30,,-27.62571698769716
1971-05-31,,-28.34739667519716
1971-06-30,,-30.50120526894716
1971-07-31,,-37.79368573769716
1971-08-31,,-42.92112714394716
1971-09-30,,-46.57981855019716
1971-10-31,,-47.97532636269716
1971-11-30,,-41.87669355019716
1971-12-31,,-38.89427167519716
1972-01-31,,-31.62522870644716
1972-02-29,,-21.32640058144716
1972-03-31,,-16.23704511269716
1972-04-30,,-19.55100995644716
1972-05-31,,-21.92210370644716
1972-06-30,,-26.13401776894716
1972-07-31,,-33.53880292519716
1972-08-31,,-39.71165448769716
1972-09-30,,-33.10227948769716
1972-10-31,,-33.99388105019716
1972-11-30,,-34.06321698769716
1972-12-31,,-30.00608808144716
1973-01-31,,-27.37278730019716
1973-02-28,,-26.01975995644716
1973-03-31,,-28.93919355019716
1973-04-30,,-30.04856855019716
1973-05-31,,-32.32737714394716
1973-06-30,,-34.06028730019716
1973-07-31,,-35.44358808144716
1973-08-31,,-39.32737714394716
1973-09-30,,-37.93284589394716
1973-10-31,,-32.49046308144716
1973-11-30,,-35.35130292519716
1973-12-31,,-33.16282636269716
1974-01-31,,-29.03782636269716
1974-02-28,,-21.07786542519716
1974-03-31,,-18.28782636269716
1974-04-30,,-21.57591230019716
1974-05-31,,-20.78733808144716
1974-06-30,,-27.11253339394716
1974-07-31,,-35.15940839394716
1974-08-31,,-40.52708417519716
1974-09-30,,-39.58714276894716
1974-10-31,,-36.55589276894716
1974-11-30,,-33.80833417519716
1974-12-31,,-32.13011151894716
1975-01-31,,-29.57395917519716
1975-02-28,,-24.91380292519716
1975-03-31,,-19.49632245644716
1975-04-30,,-17.41429120644716
1975-05-31,,-16.25120526894716
1975-06-30,,-19.07444745644716
1975-07-31,,-29.21018964394716
1975-08-31,,-33.39329511269716
1975-09-30,,-31.64622480019716
1975-10-31,,-29.74681073769716
1975-11-30,,-25.16673261269716
1975-12-31,,-21.22288495644716
1976-01-31,,-25.09202558144716
1976-02-29,,-22.95481855019716
1976-03-31,,-23.39475995644716
1976-04-30,,-26.40110761269716
1976-05-31,,-29.17796308144716
1976-06-30,,-35.62278730019716
1976-07-31,,-38.11839276894716
1976-08-31,,-36.91184980019716
1976-09-30,,-26.21751386269716
1976-10-31,,-19.05149823769716
1976-11-30,,-13.72825605019716
1976-12-31,,-18.84495526894716
1977-01-31,,-12.88401776894716
1977-02-28,,-8.82102948769716
1977-03-31,,-6.75755292519716
1977-04-30,,-7.83811933144716
1977-05-31,,-4.39036542519716
1977-06-30,,-12.24485761269716
1977-07-31,,-19.52073651894716
1977-08-31,,-17.34642011269716
1977-09-30,,-18.40159589394716
1977-10-31,,-17.81761151894716
1977-11-30,,-20.73362714394716
1977-12-31,,-16.69358808144716
1978-01-31,,-11.71018964394716
1978-02-28,,-2.95188886269716
1978-03-31,,-2.03733808144716
1978-04-30,,-1.9450529251971602
1978-05-31,,0.8972322310528398
1978-06-30,,-5.72776776894716
1978-07-31,,-14.06614667519716
1978-08-31,,-20.67893964394716
1978-09-30,,-25.90306073769716
1978-10-31,,-23.37474042519716
1978-11-30,,-25.22239667519716
1978-12-31,,-19.15599042519716
1979-01-31,,-13.35813886269716
1979-02-28,,-6.81175214394716
1979-03-31,,-1.9357755814471602
1979-04-30,,-0.5646818314471602
1979-05-31,,-5.00999433144716
1979-06-30,,-13.31321698769716
1979-07-31,,-19.72190839394716
1979-08-31,,-22.53245526894716
1979-09-30,,-23.19700605019716
1979-10-31,,-12.98948651894716
