,E,total_evaporation
1958-01-01,,0.20964324089788622
1958-02-01,,0.3301465851919992
1958-03-01,,0.7116888723065776
1958-04-01,,1.1643891652425131
1958-05-01,,1.8881851934617566
1958-06-01,,2.0876004536946615
1958-07-01,,2.5369211012317288
1958-08-01,,1.7522536247007308
1958-09-01,,1.2913092295328776
1958-10-01,,0.9091817794307586
1958-11-01,,0.3805538177490234
1958-12-01,,0.1623084468226279
1959-01-01,,0.22097601429108651
1959-02-01,,0.49505298478262766
1959-03-01,,0.7713711646295363
1959-04-01,,1.3664908091227213
1959-05-01,,1.8619061131631174
1959-06-01,,2.2954493204752606
1959-07-01,,2.6583453762915825
1959-08-01,,1.8697691886655745
1959-09-01,,1.3863683064778647
1959-10-01,,0.8944197623960434
1959-11-01,,0.37823781967163084
1959-12-01,,0.2020013870731477
1960-01-01,,0.19586846136277722
1960-02-01,,0.3071167386811355
1960-03-01,,0.6697201882639239
1960-04-01,,1.3504046122233073
1960-05-01,,1.7858357583322833
1960-06-01,,2.248457845052083
1960-07-01,,2.302030501827117
1960-08-01,,2.019679407919607
1960-09-01,,1.3931128184000652
1960-10-01,,0.8101940155029297
1960-11-01,,0.3229463259379069
1960-12-01,,0.22964272960539786
1961-01-01,,0.18966370244180003
1961-02-01,,0.43084536279950825
1961-03-01,,0.8990777538668725
1961-04-01,,1.352734375
1961-05-01,,1.8609267204038558
1961-06-01,,2.3854909261067707
1961-07-01,,2.3229451333322833
1961-08-01,,1.9948064742549774
1961-09-01,,1.2587998708089192
1961-10-01,,0.8600350656817036
1961-11-01,,0.34138002395629885
1961-12-01,,0.1911037814232611
1962-01-01,,0.2492715927862352
1962-02-01,,0.4105207920074463
1962-03-01,,0.6172872974026588
1962-04-01,,1.3663977305094401
1962-05-01,,1.798005873157132
1962-06-01,,2.374274190266927
1962-07-01,,2.3500698458763862
1962-08-01,,1.928525617045741
1962-09-01,,1.0057838439941407
1962-10-01,,0.7089408136183216
1962-11-01,,0.34898996353149414
1962-12-01,,0.2260342105742424
1963-01-01,,0.23236117824431388
1963-02-01,,0.30996366909572054
1963-03-01,,0.7392122207149383
1963-04-01,,1.3129320780436198
1963-05-01,,1.9323641869329637
1963-06-01,,2.0807886759440106
1963-07-01,,2.5758755591607865
1963-08-01,,1.9085882863690775
1963-09-01,,1.3144683837890625
1963-10-01,,0.8516968757875504
1963-11-01,,0.4298062006632487
1963-12-01,,0.18501964692146547
1964-01-01,,0.2094183583413401
1964-02-01,,0.3456654713071626
1964-03-01,,0.5996050680837324
1964-04-01,,1.2936957041422525
1964-05-01,,1.8744067530478201
1964-06-01,,2.423662312825521
1964-07-01,,2.6125064972908265
1964-08-01,,1.8435520049064391
1964-09-01,,1.4413365681966146
1964-10-01,,0.8054305661109186
1964-11-01,,0.36169373194376625
1964-12-01,,0.23150164081204322
1965-01-01,,0.24388590166645666
1965-02-01,,0.3410914625440325
1965-03-01,,0.7125642838016633
1965-04-01,,1.1908878326416015
1965-05-01,,1.7037064336961316
1965-06-01,,2.3974960327148436
1965-07-01,,2.3580260738249748
1965-08-01,,1.8798582015498992
1965-09-01,,1.3264896392822265
1965-10-01,,0.8270788500385899
1965-11-01,,0.36721118291219074
1965-12-01,,0.18777012055920017
1966-01-01,,0.1506616223242975
1966-02-01,,0.407099757875715
1966-03-01,,0.8203228365990424
1966-04-01,,1.3800698598225911
1966-05-01,,2.044207542173324
1966-06-01,,2.338745880126953
1966-07-01,,2.2442388226909022
1966-08-01,,1.8687917647823211
1966-09-01,,1.4833639780680339
1966-10-01,,0.8695009293094758
1966-11-01,,0.3297396659851074
1966-12-01,,0.17715271057621126
1967-01-01,,0.24368938322990172
1967-02-01,,0.32655044964381624
1967-03-01,,0.8169507672709804
1967-04-01,,1.3237135569254557
1967-05-01,,1.814084945186492
1967-06-01,,2.3530375162760415
1967-07-01,,2.5732296359154487
1967-08-01,,1.8582708297237274
1967-09-01,,1.4253456115722656
1967-10-01,,0.8720741271972656
1967-11-01,,0.36273984909057616
1967-12-01,,0.24706945111674647
1968-01-01,,0.23039780893633444
1968-02-01,,0.4066598168734846
1968-03-01,,0.8517369301088394
1968-04-01,,1.3847148895263672
1968-05-01,,1.7183292758080266
1968-06-01,,2.166285196940104
1968-07-01,,2.5737513880575857
1968-08-01,,1.8153297670425907
1968-09-01,,1.3975715637207031
1968-10-01,,0.8762989659463206
1968-11-01,,0.34970499674479166
1968-12-01,,0.18209809641684255
1969-01-01,,0.14990322051509733
1969-02-01,,0.3001375198364258
1969-03-01,,0.6737294966174711
1969-04-01,,1.2520587921142579
1969-05-01,,1.9469114734280495
1969-06-01,,2.1260766347249347
1969-07-01,,2.5859958279517388
1969-08-01,,1.91537106421686
1969-09-01,,1.4457346598307292
1969-10-01,,0.8510264735068044
1969-11-01,,0.39127410252889
1969-12-01,,0.22467217906828849
1970-01-01,,0.20414883090603736
1970-02-01,,0.3352874347141811
1970-03-01,,0.6504277875346522
1970-04-01,,1.2041161855061848
1970-05-01,,1.8171673436318674
1970-06-01,,2.453662363688151
1970-07-01,,2.4657085787865425
1970-08-01,,2.0104446411132812
1970-09-01,,1.4248421986897786
1970-10-01,,0.8016758580361644
1970-11-01,,0.40852203369140627
1970-12-01,,0.16131914815595072
1971-01-01,,0.18803091972104966
1971-02-01,,0.35091655594961985
1971-03-01,,0.6804608375795426
1971-04-01,,1.4542228698730468
1971-05-01,,1.7995068950037802
1971-06-01,,2.2589235941569012
1971-07-01,,2.6995911136750252
1971-08-01,,2.05835699266003
1971-09-01,,1.1823804219563803
