,E,total_evaporation
1980-01-01,0.06849430028142567,
1980-02-01,0.2773117678339427,
1980-03-01,0.7157665831470155,
1980-04-01,1.5418954622232723,
1980-05-01,2.150499742490427,
1980-06-01,2.6298946711888416,
1980-07-01,2.250373188037785,
1980-08-01,2.0268223534138783,
1980-09-01,1.189516096958036,
1980-10-01,0.4636138252106295,
1980-11-01,0.18834830557112678,
1980-12-01,0.14848920510666058,
1981-01-01,0.11025257233853968,0.12506145815695485
1981-02-01,0.17583356068247608,0.24084038393838064
1981-03-01,0.9283339311164513,0.5123725398894279
1981-04-01,1.587652174367009,1.6360387166341146
1981-05-01,2.47452131138053,2.7138876145885837
1981-06-01,2.5021883229619535,2.76599604288737
1981-07-01,2.389311957188616,2.6065481862714215
1981-08-01,1.9937922044990417,2.453272173481603
1981-09-01,1.2399456360883503,1.5482471466064454
1981-10-01,0.6570119361601984,0.8218442855342742
1981-11-01,0.3364352835017113,0.3089954376220703
1981-12-01,0.24513024288681287,0.09967711664015247
1982-01-01,0.11690324321781626,0.11721234936867991
1982-02-01,0.18614794583528765,0.2339411633355277
1982-03-01,0.8475419337987954,0.5268908469907699
1982-04-01,1.5897327401034935,1.5850171407063802
1982-05-01,2.437934285021242,2.6082640617124495
1982-06-01,2.770659225634878,2.9298988342285157
1982-07-01,2.7528900959856477,3.0482263872700353
1982-08-01,1.9816997759222643,2.50811767578125
1982-09-01,1.128882298174307,1.6582832336425781
1982-10-01,0.4477318059780205,0.6935614924277028
1982-11-01,0.12295951894623895,0.297188409169515
1982-12-01,0.16538421903507172,0.14122449198076803
1983-01-01,0.1897588732886406,0.22009378863919166
1983-02-01,0.16741125602799364,0.20932224818638392
1983-03-01,0.7270860651232929,0.45266729785550025
1983-04-01,1.6960351585423856,1.6092241923014323
1983-05-01,2.099104656343019,2.3349097467237905
1983-06-01,2.6626107301304835,3.034638214111328
1983-07-01,2.9069272144640594,3.2227519865958922
1983-08-01,2.086325476936584,2.5841647732642388
1983-09-01,1.0756308378294295,1.578924306233724
1983-10-01,0.37032525860678644,0.8016222676923198
1983-11-01,0.16833668481798134,0.21386680603027344
1983-12-01,0.07726058911696264,0.13599152718820878
1984-01-01,0.1158145370365147,0.1907665652613486
1984-02-01,0.21466583673892037,0.22436038379011483
1984-03-01,0.686869819345237,0.47032039396224484
1984-04-01,1.5581068628630268,1.5879798889160157
1984-05-01,2.0664464157873055,2.2494268109721522
1984-06-01,2.2473483732078794,2.6572352091471356
1984-07-01,2.298636995123482,2.725682412424395
1984-08-01,2.0540264256970384,2.503719698998236
1984-09-01,1.0006582395307826,1.3063251495361328
1984-10-01,0.4558397551133121,0.8440901233303931
1984-11-01,0.13568171923551464,0.30041592915852866
1984-12-01,0.061484138135643185,0.10479962441229052
1985-01-01,0.0850808520824029,0.10366169098884828
1985-02-01,0.1682295049432588,0.22433977467673166
1985-03-01,0.7573787256740974,0.4305445148098853
1985-04-01,1.605101272404784,1.5555775960286458
1985-05-01,2.4014545873554702,2.642392066217238
1985-06-01,2.374900721247965,2.630865224202474
1985-07-01,2.6820444766355505,3.0455260738249748
1985-08-01,2.0888404806499397,2.5393103322675152
1985-09-01,1.020774900497473,1.5108509063720703
1985-10-01,0.42187201675802916,0.7226879365982548
1985-11-01,0.19061953625528744,0.2523172855377197
1985-12-01,0.16569414647572278,0.16022359171221334
1986-01-01,0.08636746544287892,0.1612884613775438
1986-02-01,0.10202807896903061,0.18755687986101424
1986-03-01,0.7080294263911168,0.4350675767467868
1986-04-01,1.4335672117115237,1.4837154388427733
1986-05-01,2.3244249481282653,2.7127262238533265
1986-06-01,2.6714924820300245,3.100011444091797
1986-07-01,2.4536158146187352,2.827730240360383
1986-08-01,1.9921850293135472,2.3723968998078377
1986-09-01,0.9466718203408325,1.3523404439290365
1986-10-01,0.4949438779740817,0.8046152053340789
1986-11-01,0.09430606085232812,0.29086538950602214
1986-12-01,0.19779264986649708,0.15355502405474264
1987-01-01,0.1184936277112557,0.09686614621070123
1987-02-01,0.18183706247070358,0.18218057496207102
1987-03-01,0.5584471044202198,0.3922217276788527
1987-04-01,1.6247998152924057,1.652417500813802
1987-05-01,1.9587401538777152,2.1901043307396675
1987-06-01,2.3204576830274135,2.589499918619792
1987-07-01,2.589142063666517,2.9977279170866935
1987-08-01,1.9314363512557475,2.353578136813256
1987-09-01,1.2691460821314482,1.6598779042561849
1987-10-01,0.4098755695332424,0.8951934691398374
1987-11-01,0.218398478489169,0.24352598190307617
1987-12-01,0.11332041325567738,0.11132484097634593
1988-01-01,0.11835531969099683,0.1699279046827747
1988-02-01,0.3403347273074203,0.27478788638937063
1988-03-01,0.7440089765094912,0.41629117535006616
1988-04-01,1.5697589160967769,1.7553245544433593
1988-05-01,2.4112764960921296,2.81701906265751
1988-06-01,2.357208986906591,2.5130460103352865
1988-07-01,2.5907331477126085,2.9492313015845513
1988-08-01,1.9595886649262293,2.461275654454385
1988-09-01,1.03103111057949,1.4668848673502604
1988-10-01,0.4323643323698054,0.7820668989612211
1988-11-01,0.21634255774938613,0.22675471305847167
1988-12-01,0.26725441538175015,0.14634570767802577
1989-01-01,0.053931182273960564,0.12790218476326234
1989-02-01,0.32883535691609456,0.28040530000414166
1989-03-01,0.8828829921162126,0.5716838221396169
1989-04-01,1.5426503902450779,1.5827952067057292
1989-05-01,2.5156211824540757,2.8862110260994203
1989-06-01,2.554021099058311,2.7953898111979165
1989-07-01,2.4842233197555545,2.778173631237399
1989-08-01,1.9508220913029637,2.388791976436492
1989-09-01,1.0939813002928305,1.4472794850667319
