,lwe_thickness,total_thickness_of_water_storage
1963-04-30,,4.34763660650151
1963-05-31,,-0.40260753412349004
1963-06-30,,-1.00111827631099
1963-07-31,,-3.24245128412349
1963-08-31,,-2.35597667474849
1963-09-30,,-0.28151378412349004
1963-10-31,,-2.13454112787349
1963-11-30,,0.32603016118900996
1963-12-31,,3.41562977056401
1964-01-31,,2.62314930181401
1964-02-29,,3.12070789556401
1964-03-31,,3.92563953618901
1964-04-30,,3.94370594243901
1964-05-31,,-0.64040050287349
1964-06-30,,-1.92921886224849
1964-07-31,,-3.79604015131099
1964-08-31,,-5.01796397943599
1964-09-30,,-4.49745616693599
1964-10-31,,-2.73769054193599
1964-11-30,,-2.02418956537349
1964-12-31,,0.91355457525151
1965-01-31,,4.02732410650151
1965-02-28,,3.65232410650151
1965-03-31,,5.79136219243901
1965-04-30,,2.14805164556401
1965-05-31,,-1.02772960443599
1965-06-30,,-2.40468272943599
1965-07-31,,-4.73805675287349
1965-08-31,,-5.15602550287349
1965-09-30,,-4.22475108881099
1965-10-31,,2.76560535650151
1965-11-30,,5.36704578618901
1965-12-31,,6.95103016118901
1966-01-31,,8.08188953618901
1966-02-28,,8.91648426275151
1966-03-31,,6.66843738775151
1966-04-30,,4.40708484868901
1966-05-31,,1.91294422368901
1966-06-30,,0.06003895025150996
1966-07-31,,-3.09938487787349
1966-08-31,,-4.59230479974849
1966-09-30,,-4.93153819818599
1966-10-31,,0.05979480962650996
1966-11-30,,4.26707020025151
1966-12-31,,3.50681629400151
1967-01-31,,3.61179676275151
1967-02-28,,3.82175770025151
1967-03-31,,3.03892078618901
1967-04-30,,2.90537586431401
1967-05-31,,0.97605457525151
1967-06-30,,-1.24989757318599
1967-07-31,,-3.22108897943599
1967-08-31,,-3.87440929193599
1967-09-30,,-3.78749522943599
1967-10-31,,-2.57997569818599
1967-11-30,,5.05173816900151
1967-12-31,,8.07908191900151
1968-01-31,,6.94224109868901
1968-02-29,,6.04856434087651
1968-03-31,,6.45347156743901
1968-04-30,,5.62253895025151
1968-05-31,,3.93052234868901
1968-06-30,,1.40562000493901
1968-07-31,,-2.07252940912349
1968-08-31,,-1.40102062006099
1968-09-30,,-2.20521983881099
1968-10-31,,-3.28041515131099
1968-11-30,,-1.06618175287349
1968-12-31,,4.65183582525151
1969-01-31,,6.37070789556401
1969-02-28,,6.54502430181401
1969-03-31,,11.34958973150151
1969-04-30,,12.60020008306401
1969-05-31,,10.99277820806401
1969-06-30,,5.96189441900151
1969-07-31,,0.54648914556401
1969-08-31,,-2.21400890131099
1969-09-30,,0.89255848150151
1969-10-31,,1.71616687993901
1969-11-30,,3.09080066900151
1969-12-31,,4.89292469243901
1970-01-31,,8.67148914556401
1970-02-28,,7.77353992681401
1970-03-31,,5.45408191900151
1970-04-30,,2.30222645025151
1970-05-31,,1.58994617681401
1970-06-30,,-0.21693858881099004
1970-07-31,,-2.96205577631099
1970-08-31,,-3.23671397943599
1970-09-30,,-3.82326183099849
1970-10-31,,-2.35890636224849
1970-11-30,,-1.22133312006099
1970-12-31,,1.63804187993901
1971-01-31,,5.09153309087651
1971-02-28,,5.74363270025151
1971-03-31,,4.11802234868901
1971-04-30,,5.61545887212651
1971-05-31,,8.26060047368901
1971-06-30,,6.13791980962651
1971-07-31,,1.07041492681401
1971-08-31,,-1.77211437006099
1971-09-30,,-1.52638683099849
1971-10-31,,0.71592273931401
1971-11-30,,2.61973133306401
1971-12-31,,6.23618641118901
1972-01-31,,10.18894520025151
1972-02-29,,12.68125477056401
1972-03-31,,11.40635242681401
1972-04-30,,6.71738758306401
1972-05-31,,5.75864734868901
1972-06-30,,3.10007801275151
1972-07-31,,0.00901355962650996
1972-08-31,,-1.35292491693599
1972-09-30,,2.32603016118901
1972-10-31,,5.51230945806401
1972-11-30,,7.71946277837651
1972-12-31,,7.65354480962651
1973-01-31,,6.95408191900151
1973-02-28,,6.56492176275151
1973-03-31,,3.79612293462651
1973-04-30,,2.00437488775151
1973-05-31,,0.32187977056400996
1973-06-30,,2.10178699712651
1973-07-31,,-1.47145519037349
1973-08-31,,-2.93825206537349
1973-09-30,,-2.75099620599849
1973-10-31,,-2.22426280756099
1973-11-30,,-1.84633312006099
1973-12-31,,0.07725086431400996
1974-01-31,,2.65317859868901
1974-02-28,,3.10032215337651
1974-03-31,,7.46018543462651
1974-04-30,,8.58249988775151
1974-05-31,,4.28562488775151
1974-06-30,,0.40122547368900996
1974-07-31,,-1.15065440912349
1974-08-31,,-2.37990245599849
1974-09-30,,-0.87282237787349
1974-10-31,,-0.19691905756099004
1974-11-30,,0.93235340337651
1974-12-31,,0.95212879400151
1975-01-31,,0.41538562993900996
1975-02-28,,1.61423816900151
1975-03-31,,2.12375965337651
1975-04-30,,3.14426746587651
1975-05-31,,2.56943836431401
1975-06-30,,2.05686512212651
1975-07-31,,-2.61464366693599
1975-08-31,,-2.63100108881099
1975-09-30,,-1.08473644037349
1975-10-31,,-2.14223155756099
1975-11-30,,-1.29335460443599
1975-12-31,,3.27378406743901
1976-01-31,,3.01401844243901
1976-02-29,,4.26853504400151
1976-03-31,,2.48911609868901
1976-04-30,,2.54062977056401
1976-05-31,,0.12217273931400996
1976-06-30,,-2.67042979974849
1976-07-31,,-3.44960460443599
1976-08-31,,-3.82558116693599
1976-09-30,,-1.80409679193599
1976-10-31,,-0.10976085443599004
1976-11-30,,1.73691883306401
1976-12-31,,4.13889637212651
1977-01-31,,8.08994617681401
1977-02-28,,9.79563465337651
1977-03-31,,6.14390125493901
1977-04-30,,4.50193348150151
1977-05-31,,3.57895984868901
1977-06-30,,5.84177723150151
1977-07-31,,2.25474109868901
1977-08-31,,-0.76564464349849
1977-09-30,,-2.66408214349849
1977-10-31,,-1.04982433099849
1977-11-30,,-0.02699718256099004
1977-12-31,,3.87498035650151
1978-01-31,,5.92747059087651
1978-02-28,,7.51572742681401
1978-03-31,,7.30295887212651
1978-04-30,,5.75474109868901
1978-05-31,,4.75974598150151
1978-06-30,,1.57944812993901
1978-07-31,,-2.21352062006099
1978-08-31,,-3.67921886224849
1978-09-30,,-4.50355968256099
1978-10-31,,-4.84303722162349
1978-11-30,,-5.29103526849849
1978-12-31,,-1.33522472162349
1979-01-31,,5.81260242681401
1979-02-28,,9.93088855962651
1979-03-31,,7.85605945806401
1979-04-30,,6.58518543462651
1979-05-31,,3.59373035650151
1979-06-30,,1.31516590337651
1979-07-31,,-1.94228038568599
1979-08-31,,-3.73964366693599
1979-09-30,,-3.11757335443599
1979-10-31,,-0.51210460443599
1979-11-30,,2.78147449712651
1979-12-31,,2.75437488775151
1980-01-31,,4.21311512212651
1980-02-29,,2.84775867681401
1980-03-31,,4.59080066900151
1980-04-30,,3.18296375493901
1980-05-31,,3.17881336431401
1980-06-30,,2.54282703618901
1980-07-31,,-1.62221202631099
1980-08-31,,-3.73598155756099
1980-09-30,,-4.24550304193599
1980-10-31,,-3.14174327631099
1980-11-30,,0.83433094243901
1980-12-31,,1.84861316900151
1981-01-31,,1.86484852056401
1981-02-28,,1.50901355962651
1981-03-31,,1.12046375493901
1981-04-30,,2.06760730962651
1981-05-31,,2.00400867681401
1981-06-30,,-1.88087901849849
1981-07-31,,-2.49306163568599
1981-08-31,,-4.66432628412349
1981-09-30,,-4.56386241693599
1981-10-31,,-3.30214366693599
1981-11-30,,-4.20412120599849
1981-12-31,,-1.54286632318599
1982-01-31,,3.19919910650151
1982-02-28,,4.28062000493901
1982-03-31,,4.51584949712651
1982-04-30,,2.15159168462651
1982-05-31,,-1.07228526849849
1982-06-30,,-1.71645030756099
1982-07-31,,-4.37233409662349
1982-08-31,,-3.24684581537349
1982-09-30,,-2.91640147943599
1982-10-31,,0.30027332525150996
1982-11-30,,4.29172840337651
1982-12-31,,5.57212391118901
1983-01-31,,4.31321277837651
1983-02-28,,3.47568836431401
1983-03-31,,2.11216297368901
1983-04-30,,1.57834949712651
1983-05-31,,-0.39088878412349004
1983-06-30,,-2.61439952631099
1983-07-31,,-3.19899425287349
1983-08-31,,-2.26979503412349
1983-09-30,,-1.95680675287349
1983-10-31,,-3.96303233881099
1983-11-30,,0.25107898931400996
1983-12-31,,3.19028797368901
1984-01-31,,4.00754871587651
1984-02-29,,4.11362781743901
1984-03-31,,5.32200184087651
1984-04-30,,3.99521961431401
1984-05-31,,3.96079578618901
1984-06-30,,1.90769520025151
1984-07-31,,-2.94105968256099
1984-08-31,,-3.97768077631099
1984-09-30,,-4.64394054193599
1984-10-31,,-2.62050304193599
1984-11-30,,4.07175770025151
1984-12-31,,5.28159656743901
1985-01-31,,6.04111805181401
1985-02-28,,6.73984852056401
1985-03-31,,5.35593738775151
1985-04-30,,2.65952625493901
1985-05-31,,2.40464344243901
1985-06-30,,-0.22609386224849004
1985-07-31,,-2.60976085443599
1985-08-31,,-4.65272960443599
1985-09-30,,-6.07143077631099
1985-10-31,,-5.91481456537349
1985-11-30,,-2.69643077631099
1985-12-31,,-1.08046397943599
1986-01-31,,0.75498523931401
1986-02-28,,3.33738270025151
1986-03-31,,2.44529285650151
1986-04-30,,3.00620594243901
1986-05-31,,0.65464344243901
1986-06-30,,-2.58803233881099
1986-07-31,,-4.71352062006099
1986-08-31,,-5.91420421381099
1986-09-30,,-4.15480479974849
1986-10-31,,0.86106434087651
1986-11-30,,1.26084461431401
1986-12-31,,2.39634266118901
1987-01-31,,4.85288562993901
1987-02-28,,6.57212391118901
1987-03-31,,4.10776844243901
1987-04-30,,2.11326160650151
1987-05-31,,-1.19533214349849
1987-06-30,,-3.12978038568599
1987-07-31,,-4.15211925287349
1987-08-31,,-5.44997081537349
1987-09-30,,-5.78187999506099
1987-10-31,,0.38157215337650996
1987-11-30,,2.84531727056401
1987-12-31,,6.05942859868901
1988-01-31,,8.16025867681401
1988-02-29,,9.12705555181401
1988-03-31,,5.61460437993901
1988-04-30,,8.38376941900151
1988-05-31,,7.23154773931401
