,E,total_evaporation
1980-01-01,0.2690793677666939,
1980-02-01,0.6439860521573318,
1980-03-01,1.375800746701694,
1980-04-01,1.85068312227794,
1980-05-01,2.3334836455385504,
1980-06-01,2.740671684997811,
1980-07-01,2.3547283126369702,
1980-08-01,1.6849464354859651,
1980-09-01,1.1711656474699714,
1980-10-01,0.6950816493594573,
1980-11-01,0.4179435285684117,
1980-12-01,0.18989094440015175,
1981-01-01,0.27598934136092773,0.6020335535849294
1981-02-01,0.5850417637469831,0.9165135111127581
1981-03-01,1.3841245114158014,1.8108038133190525
1981-04-01,1.929341200136975,2.3091115315755206
1981-05-01,2.4729107817123803,2.9041245983492945
1981-06-01,2.540766455450831,2.510750325520833
1981-07-01,2.3516428870302466,2.7115884596301663
1981-08-01,1.6176537421132366,2.0863349668441282
1981-09-01,1.2086574986662086,1.5923834482828776
1981-10-01,0.7903760665368887,1.2000199594805319
1981-11-01,0.2445385537847068,0.3934308052062988
1981-12-01,0.3554232628380283,0.44237386026690084
1982-01-01,0.28658743274236015,0.6163651866297568
1982-02-01,0.6604108409640569,0.9134792600359235
1982-03-01,1.2384434343865893,1.8004883796938005
1982-04-01,2.105350889405023,2.6272478739420575
1982-05-01,2.47429052648479,2.5945028489635837
1982-06-01,2.7259996607219246,2.8677103678385416
1982-07-01,2.172307810442826,2.4245196926978325
1982-08-01,1.773668540598042,2.465185842206401
1982-09-01,1.381302212132779,1.9319793701171875
1982-10-01,0.8837907263835035,1.1993392206007434
1982-11-01,0.4836460173116281,0.8503414154052734
1982-12-01,0.26859487968321455,0.5526694020917339
1983-01-01,0.19118570220117975,0.632872550718246
1983-02-01,0.6287296373463634,0.8806024960109166
1983-03-01,1.345615996310419,1.557186988092238
1983-04-01,2.0572580321194374,2.1553916931152344
1983-05-01,2.1852496331355975,2.140953310074345
1983-06-01,2.4423206563885898,2.625408935546875
1983-07-01,2.252488298419825,2.873418992565524
1983-08-01,1.9222231302212824,2.7604101857831402
1983-09-01,1.4888183029274962,2.02217648824056
1983-10-01,0.7175617257566893,0.9151589793543662
1983-11-01,0.47759924692815553,0.7100713729858399
1983-12-01,0.20413249809462206,0.5650049640286353
1984-01-01,0.36140724932056423,0.633667238297001
1984-02-01,0.5969802215004972,0.9371604261727169
1984-03-01,1.1653602876006188,1.6323976824360509
1984-04-01,2.10117731193021,2.720563761393229
1984-05-01,2.3130916702144186,2.6845319194178425
1984-06-01,3.2069775358182655,3.3560330708821615
1984-07-01,2.580113603268847,2.2136803903887348
1984-08-01,1.481722368143904,1.9473932327762726
1984-09-01,0.9279625529431861,1.0694115956624348
1984-10-01,0.7851622060838045,1.2036012218844505
1984-11-01,0.5786894484396023,0.8086407979329427
1984-12-01,0.17410202892926763,0.5189346805695565
1985-01-01,0.28940465008202215,0.5687573955905053
1985-02-01,0.7471161877842157,1.1061741283961706
1985-03-01,1.3259237153793904,1.7240780245873235
1985-04-01,2.147878983327199,2.4744249979654946
1985-05-01,2.3765849212313777,2.746057325793851
1985-06-01,2.7837509369060873,2.9987861633300783
1985-07-01,2.562382783587665,2.55072267593876
1985-08-01,1.4203554707564086,1.7180696302844631
1985-09-01,0.6951616620317476,0.8172388076782227
1985-10-01,0.47995443835235574,0.6798138772287676
1985-11-01,0.3594049782592589,0.7206590652465821
1985-12-01,0.1891369536150626,0.5191478113974294
1986-01-01,0.32562824097633614,0.6685083450809601
1986-02-01,0.5967254906860255,0.9212738445826939
1986-03-01,1.2954834463931637,1.7853597825573337
1986-04-01,1.7390272254796197,2.252635192871094
1986-05-01,2.6453644458140304,3.0135746617471018
1986-06-01,2.464890556860732,2.4200716654459637
1986-07-01,1.8469980073630994,2.0775545181766635
1986-08-01,1.0670980129286423,1.3955321773405998
1986-09-01,1.3932652801666494,2.073165512084961
1986-10-01,0.9890614229678726,1.5347933615407636
1986-11-01,0.3997262804985398,0.7525470733642579
1986-12-01,0.19842367711938286,0.5332442252866684
1987-01-01,0.2801443544582039,0.5519527927521737
1987-02-01,0.6868120075251092,1.0020205633980888
1987-03-01,1.319578652812141,1.808991462953629
1987-04-01,2.173461978729457,2.657506561279297
1987-05-01,2.534773781243753,2.6195154497700353
1987-06-01,2.460425779070348,2.4273806254069012
1987-07-01,2.1400085714371184,2.7098245928364415
1987-08-01,1.5488586245426499,2.2258829916677167
1987-09-01,1.1273458177198286,1.517155075073242
1987-10-01,0.9865466778063089,1.5452446476105721
1987-11-01,0.39079192359672627,0.8703392664591472
1987-12-01,0.22687236335526148,0.5026397705078125
1988-01-01,0.43856652879966884,0.6750088968584614
1988-02-01,0.6845272191467813,1.1750447503451644
1988-03-01,1.4193922613495966,2.0783563429309475
1988-04-01,2.181580410084632,2.6886922200520833
1988-05-01,2.8388535652706386,3.4827858709519908
1988-06-01,3.118158363669975,3.636169687906901
1988-07-01,3.3499929959063923,3.4274230464812248
1988-08-01,2.1273539172361184,1.948362288936492
1988-09-01,1.090293517468931,1.1527721405029296
1988-10-01,0.7718844204228265,1.2073765416299143
1988-11-01,0.3468068960142507,0.6276135762532552
1988-12-01,0.1325976396866147,0.45208506430349044
1989-01-01,0.2284052783951968,0.39970570225869456
1989-02-01,0.6747858045526625,0.7516390936715263
1989-03-01,1.3516653418537663,1.5559029117707284
1989-04-01,1.9546564543968468,2.3721900939941407
1989-05-01,2.619460827907629,2.7864667830928678
1989-06-01,2.6807286881352668,2.457871500651042
1989-07-01,2.068704325024251,1.6755446157147806
1989-08-01,1.66101993323426,1.9698414956369708
1989-09-01,1.3032230710313066,1.7234647115071615
