,E,total_evaporation
1958-01-01,,0.5622864384805003
1958-02-01,,0.8968599183218819
1958-03-01,,1.4265513266286542
1958-04-01,,1.599792226155599
1958-05-01,,1.7149530226184475
1958-06-01,,1.6572916666666666
1958-07-01,,1.551883574455015
1958-08-01,,0.92172118156187
1958-09-01,,1.179891840616862
1958-10-01,,0.8082830367549774
1958-11-01,,0.5271938641866049
1958-12-01,,0.49232701332338397
1959-01-01,,0.5165865498204385
1959-02-01,,1.1149638720921107
1959-03-01,,1.5222409156060988
1959-04-01,,2.036580276489258
1959-05-01,,2.4814886277721775
1959-06-01,,2.4839757283528647
1959-07-01,,1.8724901753087198
1959-08-01,,1.2685918500346522
1959-09-01,,1.8146372477213542
1959-10-01,,1.356201910203503
1959-11-01,,0.7790821711222331
1959-12-01,,0.567244622015184
1960-01-01,,0.5741962925080331
1960-02-01,,1.0081490483777276
1960-03-01,,1.5833332923150831
1960-04-01,,1.930630620320638
1960-05-01,,2.022232670937815
1960-06-01,,2.4628504435221354
1960-07-01,,1.5095919947470389
1960-08-01,,1.3748610711866809
1960-09-01,,1.3596907297770182
1960-10-01,,1.2116697988202494
1960-11-01,,0.7047504425048828
1960-12-01,,0.4294036126905872
1961-01-01,,0.5517959594726562
1961-02-01,,0.9913432938711983
1961-03-01,,1.3565212372810609
1961-04-01,,1.733937962849935
1961-05-01,,1.8844411296229209
1961-06-01,,2.2829714457194012
1961-07-01,,1.3484561058782762
1961-08-01,,1.6693531159431703
1961-09-01,,1.5218551635742188
1961-10-01,,1.1251328991305443
1961-11-01,,0.6328673044840495
1961-12-01,,0.5371341090048513
1962-01-01,,0.6776021526705834
1962-02-01,,1.0135102272033691
1962-03-01,,1.4100480848743069
1962-04-01,,1.9249425252278647
1962-05-01,,2.0492718604303177
1962-06-01,,2.263414255777995
1962-07-01,,1.2843528255339591
1962-08-01,,0.8569054757395098
1962-09-01,,0.8308644612630208
1962-10-01,,1.1541563464749245
1962-11-01,,0.6600786209106445
1962-12-01,,0.5489358594340663
1963-01-01,,0.6549866584039503
1963-02-01,,0.7978010858808245
1963-03-01,,1.5321834933373235
1963-04-01,,1.9027398427327473
1963-05-01,,1.4611359873125631
1963-06-01,,1.9947572072347006
1963-07-01,,1.675598882859753
1963-08-01,,1.8295931662282636
1963-09-01,,1.8138426462809245
1963-10-01,,0.9861638469080771
1963-11-01,,0.6952444076538086
1963-12-01,,0.4854290254654423
1964-01-01,,0.43663846292803365
1964-02-01,,0.9524001417488888
1964-03-01,,1.3115677372101815
1964-04-01,,1.9252532958984374
1964-05-01,,1.7048787763041835
1964-06-01,,1.836862564086914
1964-07-01,,1.4814210707141506
1964-08-01,,0.9451292099491242
1964-09-01,,1.0731819152832032
1964-10-01,,0.9629344324911794
1964-11-01,,0.5737384160359701
1964-12-01,,0.4590563620290449
1965-01-01,,0.4954903510309035
1965-02-01,,0.7682932444981166
1965-03-01,,1.5978578136813255
1965-04-01,,1.620071792602539
1965-05-01,,1.5178326022240423
1965-06-01,,1.6428183237711589
1965-07-01,,0.9671334297426285
1965-08-01,,1.0169007085984754
1965-09-01,,1.036156209309896
1965-10-01,,1.3405723571777344
1965-11-01,,0.8013874689737955
1965-12-01,,0.5877451127575289
1966-01-01,,0.6340802715670678
1966-02-01,,1.0710266658238001
1966-03-01,,1.4764037593718498
1966-04-01,,1.779299290974935
1966-05-01,,2.0201053004111014
1966-06-01,,2.3067176818847654
1966-07-01,,1.5020583368116809
1966-08-01,,0.9820914114675214
1966-09-01,,0.9435756047566731
1966-10-01,,1.1451845476704259
1966-11-01,,0.8093865712483724
1966-12-01,,0.6566275319745464
1967-01-01,,0.5089297756072013
1967-02-01,,0.8070504324776786
1967-03-01,,1.3044580028903099
1967-04-01,,1.6532410939534505
1967-05-01,,1.5512834364368069
1967-06-01,,1.2601228078206381
1967-07-01,,1.0262302275626891
1967-08-01,,0.9747499650524508
1967-09-01,,0.8895156860351563
1967-10-01,,0.8305299205164756
1967-11-01,,0.6834585189819335
1967-12-01,,0.5451761676419166
1968-01-01,,0.7103438223561933
1968-02-01,,0.9201347087991649
1968-03-01,,1.411836931782384
1968-04-01,,2.0369012196858725
1968-05-01,,2.272278324250252
1968-06-01,,2.262934112548828
1968-07-01,,1.2739169213079637
1968-08-01,,1.7517215359595515
1968-09-01,,1.1082501729329428
1968-10-01,,0.5714370358374811
1968-11-01,,0.5603391011555989
1968-12-01,,0.7170861151910597
1969-01-01,,0.47177782366352694
1969-02-01,,0.9024647985185895
1969-03-01,,1.4363597746818297
1969-04-01,,2.0714124043782554
1969-05-01,,2.7656262305475052
1969-06-01,,2.900964609781901
1969-07-01,,1.8466639364919355
1969-08-01,,1.0292611891223538
1969-09-01,,1.7586067199707032
1969-10-01,,1.1963028446320565
1969-11-01,,0.712634531656901
1969-12-01,,0.6577142284762475
1970-01-01,,0.5814321579471711
1970-02-01,,1.1117728097098214
1970-03-01,,1.2072838814027849
1970-04-01,,1.1902843475341798
1970-05-01,,1.8277424227806829
1970-06-01,,2.2316240946451824
1970-07-01,,1.1251340066232989
1970-08-01,,1.2379202073620212
1970-09-01,,0.8950181325276693
1970-10-01,,0.7972796655470326
1970-11-01,,0.6336524327596028
1970-12-01,,0.3869162836382466
1971-01-01,,0.45980770357193484
1971-02-01,,1.0941590581621443
1971-03-01,,1.2275657653808594
1971-04-01,,2.148254140218099
1971-05-01,,2.6527788715977825
1971-06-01,,3.01841303507487
1971-07-01,,2.3771148189421623
1971-08-01,,1.2925284601026965
1971-09-01,,1.2052658081054688
